"Age","Status","Studies","YearsOfExperience","Condition_Word_Length","Nesting_Level","Distance_from_Center","number_of_given_answers","expected_answer","given_answer","is_correct","time_in_milliseconds","M"
"undefined","undefined","undefined","undefined",2,2,3,1,10,1,"false",375,
"undefined","undefined","undefined","undefined",2,7,2,1,10,1,"false",377,
"undefined","undefined","undefined","undefined",4,6,1,1,3,1,"false",393,
"undefined","undefined","undefined","undefined",6,5,0,1,10,1,"false",367,
"undefined","undefined","undefined","undefined",6,5,0,1,4,1,"false",415,
"undefined","undefined","undefined","undefined",6,5,0,1,3,1,"false",412,
"undefined","undefined","undefined","undefined",4,4,1,1,4,1,"false",373,
"undefined","undefined","undefined","undefined",8,5,0,1,8,1,"false",416,
"undefined","undefined","undefined","undefined",4,5,0,1,8,1,"false",363,
"undefined","undefined","undefined","undefined",8,5,0,1,10,1,"false",395,
"undefined","undefined","undefined","undefined",2,2,3,1,1,1,"true",404,
"undefined","undefined","undefined","undefined",2,6,1,1,8,1,"false",417,
"undefined","undefined","undefined","undefined",2,6,1,1,3,1,"false",362,
"undefined","undefined","undefined","undefined",8,8,3,1,2,1,"false",339,
"undefined","undefined","undefined","undefined",4,9,4,1,5,1,"false",328,
"undefined","undefined","undefined","undefined",8,2,3,1,5,1,"false",303,
"undefined","undefined","undefined","undefined",4,7,2,1,10,1,"false",406,
"undefined","undefined","undefined","undefined",4,4,1,1,6,1,"false",425,
"undefined","undefined","undefined","undefined",8,3,2,1,10,1,"false",354,
"undefined","undefined","undefined","undefined",4,8,3,1,9,1,"false",374,
"undefined","undefined","undefined","undefined",4,3,2,1,2,1,"false",414,
"undefined","undefined","undefined","undefined",4,2,3,1,2,1,"false",425,
"undefined","undefined","undefined","undefined",4,7,2,1,9,1,"false",410,
"undefined","undefined","undefined","undefined",2,4,1,1,9,1,"false",412,
"undefined","undefined","undefined","undefined",8,6,1,1,5,1,"false",389,
"undefined","undefined","undefined","undefined",2,4,1,1,8,1,"false",454,
"undefined","undefined","undefined","undefined",8,3,2,1,8,1,"false",399,
"undefined","undefined","undefined","undefined",6,1,4,1,1,1,"true",452,
"undefined","undefined","undefined","undefined",4,5,0,1,5,1,"false",380,
"undefined","undefined","undefined","undefined",8,7,2,1,9,1,"false",375,
"undefined","undefined","undefined","undefined",4,2,3,1,8,1,"false",421,
"undefined","undefined","undefined","undefined",6,7,2,1,1,1,"true",401,
"undefined","undefined","undefined","undefined",8,4,1,1,7,1,"false",407,
"undefined","undefined","undefined","undefined",8,8,3,1,2,1,"false",436,
"undefined","undefined","undefined","undefined",4,9,4,1,3,1,"false",423,
"undefined","undefined","undefined","undefined",2,3,2,1,10,1,"false",457,
"undefined","undefined","undefined","undefined",6,7,2,1,9,1,"false",405,
"undefined","undefined","undefined","undefined",2,8,3,1,10,1,"false",432,
"undefined","undefined","undefined","undefined",6,3,2,1,6,1,"false",399,
"undefined","undefined","undefined","undefined",8,2,3,1,7,1,"false",372,
"undefined","undefined","undefined","undefined",4,1,4,1,10,1,"false",408,
"undefined","undefined","undefined","undefined",2,1,4,1,8,1,"false",421,
"undefined","undefined","undefined","undefined",8,9,4,1,1,1,"true",430,
"undefined","undefined","undefined","undefined",4,1,4,1,8,1,"false",431,
"undefined","undefined","undefined","undefined",6,1,4,1,7,1,"false",417,
"undefined","undefined","undefined","undefined",2,6,1,1,7,1,"false",495,
"undefined","undefined","undefined","undefined",2,7,2,1,7,1,"false",396,
"undefined","undefined","undefined","undefined",6,8,3,1,1,1,"true",381,
"undefined","undefined","undefined","undefined",6,8,3,1,8,1,"false",391,
"undefined","undefined","undefined","undefined",8,1,4,1,2,1,"false",390,
"undefined","undefined","undefined","undefined",8,9,4,1,10,1,"false",385,
"undefined","undefined","undefined","undefined",6,6,1,1,2,1,"false",377,
"undefined","undefined","undefined","undefined",2,5,0,1,10,1,"false",415,
"undefined","undefined","undefined","undefined",2,7,2,1,6,1,"false",420,
"undefined","undefined","undefined","undefined",2,3,2,1,5,1,"false",410,
"undefined","undefined","undefined","undefined",8,5,0,1,1,1,"true",406,
"undefined","undefined","undefined","undefined",4,5,0,1,9,1,"false",401,
"undefined","undefined","undefined","undefined",2,9,4,1,4,1,"false",381,
"undefined","undefined","undefined","undefined",4,9,4,1,9,1,"false",380,
"undefined","undefined","undefined","undefined",6,2,3,1,6,1,"false",454,
"undefined","undefined","undefined","undefined",8,4,1,1,2,1,"false",432,
"undefined","undefined","undefined","undefined",8,6,1,1,9,1,"false",460,
"undefined","undefined","undefined","undefined",6,1,4,1,3,1,"false",392,
"undefined","undefined","undefined","undefined",8,3,2,1,5,1,"false",477,
"undefined","undefined","undefined","undefined",8,3,2,1,9,1,"false",442,
"undefined","undefined","undefined","undefined",6,2,3,1,10,1,"false",413,
"undefined","undefined","undefined","undefined",8,9,4,1,10,1,"false",424,
"undefined","undefined","undefined","undefined",6,5,0,1,10,1,"false",419,
